"modelo","criterio","direccion","etapa","n_vars","kic","kicc","kicb2","aic","bic","fh_r2","adj_r2","metodo_sel","metodo_ind","b_boot","semilla","vif_max","sigma2_u","gamma_medio","gamma_min","cv_medio","cv_max","n_cv_20","shapiro_ef_p","var_limite","covariables"
"F_KIC_both","KIC","both","modelo_final",9,-202.1895,-189.4339,-183.0257,-213.1895,-186.4505,0.9799,0.8377,"ml","reml",500,2906,9.95,0.00141954,0.3723,0.0644,10.22,21.269,83,0.0006025,FALSE,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + dist_cali_km"
"F_KICc_both","KICc","both","modelo_final",7,-201.1667,-193.0626,-188.5969,-210.1667,-188.2893,0.9721,0.8233,"ml","reml",500,2906,9.8,0.00153448,0.3859,0.0692,10.257,21.725,83,0.00133,FALSE,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023"
"F_KICb2_both","KICb2","both","modelo_final",6,-198.1103,-192.2111,-190.0329,-206.1103,-186.6637,0.9623,0.8082,"ml","reml",500,2906,9.74,0.00168892,0.4029,0.0757,10.476,21.354,83,0.00949,FALSE,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019"
