"cod_mun","Municipio","directo_pobreza","cv_directo","eblup_pobreza","cv_eblup","gamma_fh"
"19001","Popayán",0.387999218684024,0.0267712639485498,0.387670805539061,2.64751731167576,0.941736530712014
"19022","Almaguer",0.562525352371654,0.207687937656349,0.559935160654345,8.04707791214043,0.113293657367019
"19050","Argelia",0.238909085592395,0.203243083627791,0.250797100388546,19.1422950310782,0.425177011811903
"19075","Balboa",0.45010901827639,0.245466745884741,0.491156877815679,9.11193928100288,0.125002470861759
"19100","Bolívar",0.500368429949404,0.158401610971324,0.53797593497853,7.86504712265257,0.217287917919486
"19110","Buenos Aires",0.449296998852418,0.222576425169483,0.419857606817798,10.8762937857499,0.14848991692588
"19130","Cajibío",0.508721465589494,0.167873629289616,0.471453288140177,8.98427483280472,0.192972627449808
"19137","Caldono",0.553082146130063,0.191305469864136,0.57695298308641,9.61780859323034,0.134779885622629
"19142","Caloto",0.381381786380106,0.190987034374947,0.387964893940383,10.5049468170915,0.247386873329527
"19212","Corinto",0.313138472537286,0.196047121522768,0.319098409365936,11.9267859405848,0.316352346456113
"19256","El Tambo",0.534467488422076,0.0943488165243152,0.494510777795648,7.46123510948653,0.406820686897031
"19290","Florencia",0.523549226857493,0.225278880286301,0.506364611695811,9.06589962356145,0.111399463333626
"19300","Guachené",0.314021505745962,0.0934642812091606,0.315174887144224,8.26858799960326,0.669369194413966
"19318","Guapi",0.549766265076062,0.130158737268763,0.575703874003151,7.59470592073777,0.254058824196134
"19355","Inzá",0.504403345724611,0.242002241180071,0.483821534819637,10.0776034184233,0.104777671532414
"19364","Jambaló",0.619395990544596,0.166725673881417,0.581839670236569,9.93487589280672,0.14054459130416
"19392","La Sierra",0.513091533789568,0.210445701116623,0.491121984708919,9.35740889839775,0.130114268129114
"19397","La Vega",0.527577733005663,0.212545701097264,0.553309709966671,8.06913734834685,0.121800273182947
"19418","López de Micay",0.67339111537938,0.177679113620225,0.594267978950735,9.02064021728433,0.108592825528594
"19450","Mercaderes",0.507048831931205,0.206267886216326,0.466113743947125,9.95182609721752,0.137507134617129
"19455","Miranda",0.198653480586513,0.169046832015641,0.216222018879698,12.8294094611501,0.607291060241578
"19473","Morales",0.524107460035218,0.215001398206854,0.522116831956057,9.30669295346515,0.120758438333129
"19513","Padilla",0.378594269667572,0.220930457935599,0.337249055097887,12.4609650576312,0.199533725416555
"19517","Páez",0.557053293913796,0.131250934078747,0.584073226935866,8.9137927607046,0.245987388268225
"19532","Patía",0.427856368967543,0.131376339289873,0.450791250184569,8.33259915815547,0.35565065169974
"19533","Piamonte",0.457677045801199,0.231770775266193,0.465135123645901,10.6011129587621,0.134189830148877
"19548","Piendamó - Tunía",0.347038916776648,0.129401546038459,0.362453636815127,9.14056440371176,0.463738905185919
"19573","Puerto Tejada",0.245146463189562,0.128515230155402,0.220110670581236,12.367932080179,0.637287070189271
"19585","Puracé",0.415306428882595,0.221139193320276,0.459588074928828,9.86783727646213,0.171333917101347
"19622","Rosas",0.449638514692912,0.226042057157563,0.43711483248123,10.2358340146297,0.144437157756212
"19693","San Sebastián",0.408009756402383,0.208477207054813,0.472095303915804,9.40570929862557,0.194218849607587
"19698","Santander de Quilichao",0.247097867528779,0.106300076978836,0.263344497405307,8.82991343369745,0.716530048087793
"19701","Santa Rosa",0.518069808102902,0.23041267810954,0.529972020609039,9.62277881796507,0.109043486109076
"19743","Silvia",0.594548828166253,0.0971992439460408,0.583620122310127,6.77368407986693,0.343053422367971
"19760","Sotará Paispamba",0.42363483052891,0.188056041505998,0.444500694440011,9.96091582745871,0.215546834870098
"19780","Suárez",0.420860918532776,0.19958848640125,0.382566962207313,12.1926833695544,0.198180521149429
"19785","Sucre",0.592260763101386,0.242529163433651,0.520273790622091,9.09865033080407,0.0779362685884855
"19807","Timbío",0.485298379279879,0.141823712156706,0.414836367970726,9.97490948378138,0.269082526002189
"19809","Timbiquí",0.509420099635651,0.137714794614579,0.487539973106653,9.12930111154928,0.26163252731461
"19821","Toribío",0.551408859073775,0.21381569524038,0.552540980574476,8.74293405122853,0.111474557392821
"19824","Totoró",0.590158497641813,0.204075750691754,0.548042452795913,8.20370325274924,0.107326074389225
"19845","Villa Rica",0.286909792264029,0.12237631833306,0.278731239085643,10.2700342550548,0.585860197456278
"76001","Cali",0.236000150623116,0.0283011766826779,0.234841397336332,2.82462940222765,0.975057989349245
"76020","Alcalá",0.324586690009205,0.22770968610581,0.317734742480583,12.5543015959124,0.241983927389199
"76036","Andalucía",0.170872931834585,0.193634035929395,0.186215363107356,14.4979048779098,0.614350036037671
"76041","Ansermanuevo",0.311294220007976,0.181555050930636,0.308384706869294,11.7430771576576,0.353159529476067
"76054","Argelia",0.346746769918103,0.193059864289454,0.374877985879484,10.7564940027066,0.280138424348796
"76100","Bolívar",0.191834135533459,0.108355455204765,0.194592834261551,10.0688899946932,0.801439977847625
"76109","Buenaventura",0.583063980603387,0.0680469304759643,0.586522352862776,6.552513399768,0.525584124407596
"76111","Guadalajara de Buga",0.171840563775675,0.113881915354939,0.179526101219209,10.1436475333648,0.819942311376993
