"depto","municipios","pobreza_media","pobreza_mediana","pobreza_min","pobreza_max","pct_rural_medio","pdet_n"
"Cauca",42,0.458,0.493,0.199,0.673,77.5,16
"Valle del Cauca",42,0.26,0.248,0.084,0.583,35.6,4
